popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
541.169,1569,FALSE,/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,419704,FALSE,/p3TCqUDoVsrIm8fHK9KOTfWnDjZ.jpg,en,Ad Astra,NULL,Ad Astra,6,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",9/17/19
745.549,1640,FALSE,/db32LaOibwEliAmSL2jjDF6oDdj.jpg,181812,FALSE,/jOzrELAzFxtMx2I4uDGHOotdfsS.jpg,en,Star Wars: The Rise of Skywalker,NULL,Star Wars: The Rise of Skywalker,6.7,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",12/18/19
499.471,696,FALSE,/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg,512200,FALSE,/zTxHf9iIOCqRbxvl8W5QYKrsMLq.jpg,en,Jumanji: The Next Level,NULL,Jumanji: The Next Level,6.7,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",12/4/19
322.465,75,FALSE,/yJdeWaVXa2se9agI6B4mQunVYkB.jpg,449924,FALSE,/ekP6EVxL81lZ4ivcqPsoZ72rY0h.jpg,cn,葉問4,NULL,Ip Man 4: The Finale,6.2,"Following the death of his wife, Ip Man travels to San Francisco to ease tensions between the local kung fu masters and his star student, Bruce Lee, while searching for a better future for his son.",12/20/19
276.587,7140,FALSE,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,475557,FALSE,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,en,Joker,NULL,Joker,8.3,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",10/2/19
226.665,338967,FALSE,814,7,Zombieland: Double Tap,10/9/19,en,Zombieland: Double Tap,NULL,/3ghImmHdp4RnC3UkL6hpLayclnb.jpg,FALSE,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",/dtRbVsUb5O12WWO54SRpiMtHKC0.jpg
214.486,915,FALSE,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,509967,FALSE,/eFw5YSorHidsajLTayo1noueIxI.jpg,en,6 Underground,NULL,6 Underground,6.2,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",12/13/19
171.034,1370,FALSE,/pjeMs3yqRmFL3giJy4PMXWZTTPa.jpg,330457,FALSE,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,en,Frozen II,NULL,Frozen II,7,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",11/20/19
161.146,16182,FALSE,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,299536,FALSE,/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg,en,Avengers: Infinity War,NULL,Avengers: Infinity War,8.3,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",4/25/18
163.261,34,FALSE,/eU0orGizEpOli4wtN8HtfOOJDlA.jpg,516700,FALSE,/mlaX4c2M6usnhXHG5sYJcKVXflA.jpg,id,Gundala,NULL,Gundala,5.5,"Sancaka has lived on the streets since his parents left him. Living a hard life, Sancaka survives by thinking about his own safety. When the condition of the city gets worse and injustice rages throughout the country, Sancaka must decide whether he continues to live to look after himself or rise to become their oppressed hero.",8/29/19
